Geographic Area Name;Estimate!!HOUSEHOLDS BY TYPE!!Total households;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families);Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!With own children of the householder under 18 years;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family!!With own children of the householder under 18 years;"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family";"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family!!With own children of the householder under 18 years";"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family";"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family!!With own children of the householder under 18 years";Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone!!65 years and over;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average household size;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average family size;Estimate!!RELATIONSHIP!!Population in households;Estimate!!RELATIONSHIP!!Population in households!!Householder;Estimate!!RELATIONSHIP!!Population in households!!Spouse;Estimate!!RELATIONSHIP!!Population in households!!Child;Estimate!!RELATIONSHIP!!Population in households!!Other relatives;Estimate!!RELATIONSHIP!!Population in households!!Nonrelatives;Estimate!!RELATIONSHIP!!Population in households!!Nonrelatives!!Unmarried partner;Estimate!!MARITAL STATUS!!Males 15 years and over;Estimate!!MARITAL STATUS!!Males 15 years and over!!Never married;"Estimate!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated";Estimate!!MARITAL STATUS!!Males 15 years and over!!Separated;Estimate!!MARITAL STATUS!!Males 15 years and over!!Widowed;Estimate!!MARITAL STATUS!!Males 15 years and over!!Divorced;Estimate!!MARITAL STATUS!!Females 15 years and over;Estimate!!MARITAL STATUS!!Females 15 years and over!!Never married;"Estimate!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated";Estimate!!MARITAL STATUS!!Females 15 years and over!!Separated;Estimate!!MARITAL STATUS!!Females 15 years and over!!Widowed;Estimate!!MARITAL STATUS!!Females 15 years and over!!Divorced;Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school;"Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool";Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten;Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8);Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12);Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school;Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over;Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade;"Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma";Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency);"Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree";Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree;Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree;Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree;Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher;Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher;Estimate!!VETERAN STATUS!!Civilian population 18 years and over;Estimate!!VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population!!With a disability;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years!!With a disability;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years!!With a disability;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over!!With a disability
"Middlesex County, New Jersey";285480;207900;91779;158447;71174;13750;4689;35703;15916;77580;65315;27367;100233;85495;2.80;3.31;799422;285480;157898;251977;70555;33512;15656;333818;123531;182571;4501;6975;16240;347181;106533;171692;6442;31221;31293;217526;15696;10954;78070;41733;71073;572861;29899;27465;140414;82911;37591;152188;102393;515497;254581;649674;23391;822039;78757;179703;6894;520655;32769;121681;39094
"Morris County, New Jersey";181738;127292;54633;105519;45646;6845;2529;14928;6458;54446;44245;17767;57297;57496;2.67;3.24;485350;181738;105157;155289;24271;18895;9553;199262;66263;113282;1643;5070;13004;211685;60845;110077;2579;17434;20750;124087;9442;4718;48207;29066;32654;347332;8356;8638;65130;47428;22970;110254;84556;330338;194810;390030;18492;489808;43157;104070;3173;304042;18961;81696;21023
"Salem County, New Jersey";23952;16345;6429;11568;3905;1172;405;3605;2119;7607;6013;2685;7328;8096;2.55;3.03;61030;23952;11397;18173;3538;3970;1888;24609;8259;12586;803;821;2140;26749;7086;12583;857;3002;3221;14424;876;493;6838;3091;3126;44425;996;2424;18573;7366;5334;7309;2423;41005;9732;48968;3247;61386;9156;13469;772;36685;5068;11232;3316
"Somerset County, New Jersey";118729;88135;37185;73243;31579;2987;1191;11905;4415;30594;26405;10326;40318;34722;2.75;3.25;326841;118729;73184;104661;20249;10018;4669;131835;41940;79100;1082;2649;7064;140530;37506;76309;2002;10447;14266;88526;7287;3317;34184;19675;24063;231312;5668;7238;38526;32878;12740;71354;62908;218406;134262;258552;9096;328347;25581;72113;1877;206177;11353;50057;12351
"Sussex County, New Jersey";53749;38434;13961;31024;11366;2404;654;5006;1941;15315;12438;5179;15854;16823;2.58;3.07;138821;53749;30962;43018;5548;5544;3189;58697;17985;33788;990;1726;4208;59903;15403;32038;582;4252;7628;32289;2173;1757;12784;7302;8273;101128;1116;2808;29739;20968;8643;25201;12653;97204;37854;112780;7454;139552;16394;27981;1141;88505;8359;23066;6894
"Chaves County, New Mexico";22616;15991;7164;11448;4550;1075;568;3468;2046;6625;5764;2938;8402;7424;2.76;3.31;62418;22616;11282;20389;5247;2884;1224;25088;8489;12564;336;1027;2672;26162;8093;11879;309;2242;3639;16784;1269;1141;8281;3332;2761;42081;5393;4373;10592;11818;3129;4311;2465;32315;6776;48205;3704;63616;11409;16444;884;36611;5417;10561;5108
"Do?a Ana County, New Mexico";80409;52763;23868;36142;14402;4490;2245;12131;7221;27646;22284;8365;26732;23716;2.64;3.27;211921;80409;36457;68628;14801;11626;5339;84882;34384;40669;1607;1991;6231;88465;30326;38860;3364;6649;9266;64439;2599;2844;25913;11094;21989;134247;15655;11675;31650;27741;9019;24246;14261;106917;38507;164795;14059;214569;37474;52093;3748;128072;20469;34404;13257
"Valencia County, New Mexico";28379;18194;6863;12951;4878;1458;474;3785;1511;10185;8631;3522;8263;10560;2.64;3.36;74993;28379;13030;23207;6786;3591;1367;30887;10200;14509;716;771;4691;30592;9134;14042;96;2639;4681;19283;1364;598;8564;4457;4300;52318;2296;6676;16201;11628;4054;5854;5609;43346;11463;58407;6435;74888;14395;17855;415;43443;8106;13590;5874
"Oneida County, New York";88871;56426;23003;40722;14728;4734;2673;10970;5602;32445;26785;11025;25229;28823;2.44;3.04;216607;88871;40569;63456;11224;12487;7921;93307;37878;43786;1258;2440;7945;95380;27303;44077;3348;9733;10919;52438;1938;2107;22532;10827;15034;160103;6364;11099;52502;29376;19473;22601;18688;142640;41289;180002;14703;221182;29714;48429;1984;132754;15015;39999;12715
"Oswego County, New York";46270;29546;12365;21830;7256;2835;1689;4881;3420;16724;13001;5785;13504;13904;2.45;2.95;113217;46270;21911;29811;5984;9241;5304;49371;18619;22715;1052;2087;4898;48786;15055;23412;1134;3726;5459;28202;1045;603;11614;5788;9152;80284;2665;6409;28856;15511;10737;9374;6732;71210;16106;93194;8743;117070;16347;24422;1597;73437;8151;19211;6599
"Queens County, New York";788110;539742;200220;367777;146094;47000;11227;124965;42899;248368;192927;81145;236214;253585;2.86;3.42;2250479;788110;367051;642652;295004;157662;39211;907135;356046;459287;19816;19826;52160;984546;335967;442172;29504;89350;87553;514867;34535;23069;196627;100831;159805;1646542;160430;127941;443283;234853;129169;345988;204878;1358171;550866;1820013;35190;2263248;206444;457980;11631;1458445;90994;346823;103819
"Richmond County, New York";167441;118442;50275;89163;38559;7950;2881;21329;8835;48999;43130;18686;56970;57482;2.80;3.40;469393;167441;89147;152618;42293;17894;6530;186900;66275;102252;1536;4688;12149;203642;62251;97504;5456;19645;18786;111746;6538;3972;47166;23724;30346;332651;19446;21401;102648;53813;21354;69880;44109;291804;113989;371823;12880;471911;45383;103835;2534;293381;21327;74695;21522
"Steuben County, New York";40578;25411;9050;19163;5697;2574;1422;3674;1931;15167;13138;5442;10206;13068;2.32;2.92;93996;40578;19071;24932;4676;4739;3197;39743;11956;20357;893;758;5779;39268;8521;19962;825;4914;5046;19707;1104;1368;9424;4277;3534;68131;2126;4361;25462;9761;9824;7953;8644;61644;16597;75407;6813;94678;13524;20343;1662;56462;7138;17873;4724
"Westchester County, New York";352498;238521;104101;177607;79024;15204;5488;45710;19589;113977;99360;46808;113212;117114;2.67;3.30;941392;352498;177774;310230;60033;40857;14831;379731;137974;202521;5744;9422;24070;415075;135780;190231;9895;36188;42981;245350;19072;9598;93883;57922;64875;670570;36716;40478;130182;90575;43162;159043;170414;593376;329457;755669;28223;955155;95764;210500;7328;584775;42752;159880;45684
"Iredell County, North Carolina";68328;50844;22373;38920;16716;3518;1382;8406;4275;17484;14537;6149;25777;19365;2.59;2.98;177210;68328;38538;49948;12408;7988;5061;70290;19633;42300;999;1086;6272;74506;19603;39033;1539;5620;8711;41096;2231;2294;19729;9197;7645;123478;4456;9241;32756;28252;13211;24503;11059;109781;35562;137288;9017;177342;22908;40998;1610;108847;11077;27497;10221
"Lincoln County, North Carolina";34233;24405;9095;19201;6556;1466;738;3738;1801;9828;7890;2614;10271;10002;2.42;2.80;83003;34233;19064;21400;3459;4847;3120;34138;10074;19491;491;677;3405;35669;8253;20809;397;2297;3913;17367;919;620;8182;4665;2981;60586;1007;5623;19041;13203;6274;11056;4382;53956;15438;66121;5242;83163;10803;17649;1111;51532;5613;13982;4079
"Pitt County, North Carolina";69288;38161;17403;23607;9000;2563;1761;11991;6642;31127;23190;6075;20365;17141;2.50;3.19;173094;69288;23624;45040;14943;20199;5237;66887;30209;28048;1092;1389;6149;81016;37710;25644;2779;5862;9021;61252;3849;1470;16751;8603;30579;111171;4352;9484;26425;23045;12381;23555;11929;97335;35484;140880;11446;178394;28902;38329;2687;117051;16058;23014;10157
"Cass County, North Dakota";74343;41846;20714;33649;15010;2511;1519;5686;4185;32497;24151;6179;21409;14945;2.37;3.04;176542;74343;33818;47155;4379;16847;4880;73979;30680;35103;730;2121;5345;71719;23272;37321;757;3714;6655;52427;4094;2260;17684;7408;20981;115405;3478;2978;22443;23096;16428;34074;12908;108949;46982;140534;8691;180284;14556;40809;1030;118607;7284;20868;6242
"Ward County, North Dakota";27887;14737;6907;12155;5367;1198;800;1384;740;13150;9954;3060;7477;5982;2.35;3.18;65612;27887;12423;18190;1538;5574;2736;28718;12413;12948;254;865;2238;25274;7026;13149;377;1701;3021;15302;728;829;7348;2879;3518;43162;2276;1913;12141;8731;6086;9011;3004;38973;12015;47228;6050;62589;7967;15913;487;38598;4546;8078;2934
"Marion County, Ohio";24205;14270;5747;10079;3366;991;543;3200;1838;9935;8131;3058;6777;7908;2.47;3.27;59734;24205;10109;18572;3706;3142;1815;28803;9981;11963;1182;821;4856;24827;6181;10846;500;3002;4298;14466;973;950;5959;3387;3197;45697;1334;3087;21790;10838;3504;3155;1989;41276;5144;51298;4042;59946;11699;13915;1125;35198;6575;10833;3999
"Wood County, Ohio";50694;30674;13016;25279;9580;1752;1310;3643;2126;20020;14815;4627;14602;13562;2.45;3.07;124179;50694;25077;34424;4078;9906;4706;53448;20796;26302;806;925;4619;55467;19856;25772;402;3670;5767;38762;1843;1408;11661;6454;17396;81435;1283;3545;25251;15403;7757;15902;12294;76607;28196;104164;6908;129485;13477;26350;931;83859;6891;19276;5655
"Multnomah County, Oregon";330223;175694;76080;133269;54694;13081;5993;29344;15393;154529;109243;35880;82624;82193;2.40;3.10;793549;330223;133270;191822;44738;93496;33260;336537;145564;145517;4428;5255;35773;346467;126064;146536;4529;21289;48049;181770;14503;8938;66459;31797;60073;595278;22407;26563;100231;128648;45300;161107;111022;546308;272129;658683;34036;806738;93718;152561;7607;547646;52370;106531;33741
"Yamhill County, Oregon";37235;24476;10203;20142;8170;1068;514;3266;1519;12759;10145;4927;11866;12124;2.73;3.40;101556;37235;20216;31204;7240;5661;1926;43209;14156;21963;710;2117;4263;44280;11411;22775;948;3849;5297;26665;1617;1309;10925;5659;7155;71923;2619;5062;17512;19780;6037;13222;7691;64242;20913;83233;5990;104760;15778;23691;856;63502;8560;17567;6362
"Allegheny County, Pennsylvania";543369;303257;114993;226733;78459;21586;9920;54938;26614;240112;199619;77933;124278;168529;2.18;2.89;1185512;543369;226468;298079;48025;69571;33506;492117;189669;238895;7904;14588;41061;537377;176288;238066;12238;54166;56619;270204;19218;11069;101357;51431;87129;883285;11821;32022;234022;142757;87425;217881;157357;839442;375238;989966;69624;1205896;158422;227145;11905;755974;75723;222777;70794
"Berks County, Pennsylvania";157006;108057;41237;80942;26202;8021;3496;19094;11539;48949;39460;18558;46400;50227;2.59;3.11;407207;157006;80957;123063;23536;22645;12481;167335;58511;85595;3507;6108;13614;176031;51579;85056;4964;16420;18012;102349;5665;4377;44055;21815;26437;285902;15928;22880;101276;47742;26221;46063;25792;247094;71855;326273;24538;415511;57323;93232;4692;252202;28060;70077;24571
"Cambria County, Pennsylvania";56483;35505;12116;25688;7100;3388;1638;6429;3378;20978;18013;8569;13733;21220;2.21;2.75;124908;56483;25536;32052;4620;6217;3900;54511;19564;26717;1280;1687;5263;56668;15748;26668;910;8380;4962;27619;1604;1236;11573;6181;7025;94597;2044;5381;42555;15330;9078;13530;6679;87172;20209;106370;10886;128466;25843;24925;2726;74714;12295;28827;10822
"Lancaster County, Pennsylvania";202490;140049;54203;114260;42240;7200;2963;18589;9000;62441;50470;21281;58685;64519;2.63;3.18;532078;202490;113804;166761;25035;23988;10535;211494;67376;120513;2547;6374;14684;225613;61571;118698;3891;19902;21551;118461;6498;5319;55733;24670;26241;366770;26995;28468;124851;55067;26974;65673;38742;311307;104415;415745;28264;537703;64095;127505;5386;315836;30062;94362;28647
"Schuylkill County, Pennsylvania";58458;36189;12600;25450;7459;3775;1818;6964;3323;22269;19269;8378;13887;20509;2.31;2.91;134754;58458;25421;38135;5672;7068;4206;61520;23893;27572;792;2246;7017;57683;15270;26128;1135;8325;6825;28723;1135;863;14064;7327;5334;104443;2827;8798;46307;17701;11359;12247;5204;92818;17451;113812;10308;134864;21689;28172;1325;79306;10254;27386;10110
"Westmoreland County, Pennsylvania";150368;97065;32721;78034;24507;6572;3303;12459;4911;53303;45520;22379;35609;56744;2.28;2.81;342585;150368;78179;86463;11493;16082;9421;145447;43424;80992;2749;4622;13660;153100;34786;80185;2953;17032;18144;69992;3823;3681;29737;15665;17086;261101;3756;9929;96967;44111;29124;48031;29183;247416;77214;286492;25036;347333;54247;63862;2387;205976;26466;77495;25394
"Dorchester County, South Carolina";55799;39863;18189;29626;12404;2480;1577;7757;4208;15936;14048;4614;20755;14149;2.85;3.40;158910;55799;29646;52213;13770;7482;3074;61697;21599;33504;862;1212;4520;66662;18272;31166;2531;5835;8858;39813;2060;2270;18496;9490;7497;107531;2218;6969;28522;24794;13918;21016;10094;98344;31110;120645;17327;158193;18654;39145;1415;96797;9089;22251;8150
"Spartanburg County, South Carolina";116018;80444;34174;58273;22851;5831;1836;16340;9487;35574;28535;11017;38003;35185;2.64;3.19;306555;116018;58300;97816;20061;14360;7458;121535;40261;61055;3034;4226;12959;132243;36688;62379;4369;11113;17694;77111;2981;3487;34973;17067;18603;211962;10320;17129;65572;43631;24253;32766;18291;184513;51057;241384;19367;309688;44861;72281;3598;188142;23119;49265;18144
"Sevier County, Tennessee";36861;25822;7831;20283;5197;1764;857;3775;1777;11039;8828;2946;9422;12390;2.62;3.07;96718;36861;20200;26400;6796;6461;3480;39380;11350;21381;540;1135;4974;41823;9710;21171;1146;4332;5464;17949;971;1198;8671;4859;2250;70273;4087;6640;25651;18238;5229;6780;3648;59546;10428;77718;6641;97115;19654;20095;1963;58130;10893;18890;6798
"Coryell County, Texas";21491;14496;7280;9856;4957;788;386;3852;1937;6995;5962;2100;8158;5409;2.76;3.44;59393;21491;9789;21442;4193;2478;1131;29593;13350;12494;284;706;2759;30572;10266;11688;1019;2308;5291;20168;1585;1052;7309;5200;5022;46876;2093;4390;12552;16554;4277;5340;1670;40393;7010;50603;10004;57998;11489;17218;1211;33973;6713;6807;3565
"Hunt County, Texas";34132;23519;9154;18424;7035;1022;573;4073;1546;10613;9133;3939;9972;10343;2.74;3.37;93591;34132;18623;30912;6236;3688;1746;37976;11682;20692;733;984;3885;39276;10074;19712;491;3692;5307;24244;1062;973;10347;5984;5878;63104;2395;6087;21039;16205;4847;9115;3416;54622;12531;73445;7395;95686;14596;23035;641;58263;7759;14388;6196
"Montgomery County, Texas";202797;147327;68969;118143;53256;8383;4623;20801;11090;55470;43947;17109;74681;54816;2.90;3.43;588214;202797;118756;199121;39913;27627;10937;227799;68390;129079;2077;5436;22817;234071;52810;124968;4975;18813;32505;160151;8555;9123;72619;36361;33493;386789;21409;29020;82564;83521;31072;97033;42170;336360;139203;435004;35170;588513;58676;155730;5074;355542;26266;77241;27336
"Parker County, Texas";46238;34321;12792;28854;10466;1286;590;4181;1736;11917;10482;4581;13857;13596;2.95;3.49;136511;46238;28768;47863;8898;4744;1970;54348;15483;31802;760;1228;5075;56081;12822;30437;1054;5007;6761;33395;1655;1607;15736;8746;5651;93178;2602;7001;29365;18573;9764;16372;9501;83575;25873;103980;9015;136857;15611;34227;1181;81881;7708;20749;6722
"Wichita County, Texas";46757;30563;12992;21102;8521;3004;1745;6457;2726;16194;13384;5224;14699;13920;2.53;3.10;118223;46757;20947;35741;7381;7397;2630;54822;21209;26119;425;1322;5747;52334;15118;22034;2081;5528;7573;31765;1930;1049;13083;6162;9541;84218;3752;7310;26413;20733;6880;11876;7254;73156;19130;97464;12205;118454;19942;29517;1105;71059;11149;17878;7688
"Augusta County, Virginia";29783;20628;5840;15816;4752;1418;390;3394;698;9155;7624;4034;7531;11615;2.37;2.82;70547;29783;15884;16934;4667;3279;1692;32439;8171;18003;489;1496;4280;31070;5587;16453;843;4361;3826;14010;1021;252;7169;3306;2262;55942;2620;5014;21188;9772;4104;8799;4445;48308;13244;60932;5876;70454;9316;14323;258;40411;4135;15720;4923
"Henrico County, Virginia";129408;81503;36208;57815;25336;6181;2663;17507;8209;47905;40223;15552;40902;37553;2.52;3.20;326498;129408;57769;100333;21228;17760;6568;124703;43679;64281;2246;4186;10311;143020;43777;60317;5745;12618;20563;79698;5154;4994;33223;17896;18431;228406;7938;12576;50090;40709;16304;60592;40197;207892;100789;254356;15992;326503;38719;74351;2872;201738;18815;50414;17032
"Montgomery County, Virginia";34585;17953;6573;14218;4684;1021;603;2714;1286;16632;9873;3293;7290;8372;2.59;3.02;89628;34585;14253;17480;4534;18776;2864;45601;25514;15953;505;246;3383;41738;18646;15427;686;3032;3947;40511;613;326;6859;3144;29569;55804;1259;3558;10718;12719;4353;10565;12632;50987;23197;84634;4742;98534;8155;14304;219;72362;4690;11868;3246
"Chesapeake city, Virginia";86122;63748;27645;46670;18688;4702;2165;12376;6792;22374;18205;6689;30946;22106;2.75;3.18;236474;86122;46638;74667;17400;11647;5132;94282;30783;51065;1845;2458;8131;100006;27329;49722;2907;8082;11966;64753;4497;3161;26401;13549;17145;163438;4630;8284;38610;42068;15712;34525;19609;150524;54134;177214;28663;230143;25730;58194;2478;140300;13486;31649;9766
"Hampton city, Virginia";54800;31422;11713;19656;5382;3026;1397;8740;4934;23378;19559;5975;13288;14031;2.37;3.02;129879;54800;19927;34933;8554;11665;2091;52858;21274;21690;1531;1581;6782;58513;20561;21867;2486;5527;8072;32965;1284;2031;12194;5865;11591;90115;1425;4734;26598;20009;12123;15392;9834;83956;25226;101625;20578;128424;21042;27543;1988;80517;10668;20364;8386
"Richmond city, Virginia";91359;40477;15265;21220;6598;4446;1485;14811;7182;50882;39151;12716;17884;22953;2.39;3.36;218517;91359;21267;54436;19743;31712;6700;91221;54107;23823;1920;2388;8983;103996;53980;24867;3518;7878;13753;56317;2524;3384;16229;6545;27635;161126;9773;14158;33769;27806;8104;38919;28597;137195;67516;188455;10544;226234;32861;39635;2180;156848;19391;29751;11290
"Roanoke city, Virginia";41353;22638;7821;13349;3796;1620;553;7669;3472;18715;15335;5326;9716;12397;2.37;3.17;98037;41353;12974;27760;8342;7608;4658;37248;14640;14108;822;1625;6053;43646;14317;15185;1004;4758;8382;20635;1631;1896;9267;4032;3809;70169;3120;7336;24908;12409;4542;12035;5819;59713;17854;77512;7661;98581;10907;22218;768;60326;5073;16037;5066
"Island County, Washington";34572;24156;8023;20835;6287;1247;603;2074;1133;10416;8869;4860;8333;14350;2.39;2.81;82499;34572;20679;20601;2393;4254;1743;35957;10137;20692;39;1482;3607;35816;5045;22998;599;2988;4186;15070;947;526;6968;2082;4547;62374;960;1883;12459;17795;7936;12274;9067;59531;21341;63565;13311;78016;13303;14684;675;42663;5975;20669;6653
"Cabell County, West Virginia";38024;20673;8076;15372;5231;1295;762;4006;2083;17351;15199;4866;8676;11485;2.34;3.15;89060;38024;15245;24336;4918;6537;1790;37196;13968;16401;849;1308;4670;40674;14258;16507;224;4147;5538;25367;1960;1010;7375;4532;10490;62359;1613;4779;19921;13904;4751;9453;7938;55967;17391;74648;5947;91513;14204;18339;521;56680;8226;16494;5457
"Dodge County, Wisconsin";35221;23524;9785;18593;6395;2372;1646;2559;1744;11697;9351;3774;10849;10080;2.38;2.85;83861;35221;18571;22196;2780;5093;3282;38679;12384;19235;528;1234;5298;35409;8343;19372;437;3298;3959;16907;900;1409;7147;5016;2435;64427;1789;3824;27004;13786;7382;7782;2860;58814;10642;70425;5284;83979;9865;17379;981;51819;4392;14781;4492
"Eau Claire County, Wisconsin";40421;22752;10186;19084;7617;1076;818;2592;1751;17669;13181;4624;10682;11150;2.50;3.14;100869;40421;19183;27006;2605;11654;2422;42876;17937;19826;514;1380;3219;44145;16319;19908;435;2950;4533;31789;1806;941;9177;4513;15352;65132;1837;1421;16989;12023;11069;14394;7399;61874;21793;83474;5926;103849;12851;20908;556;66437;6193;16504;6102
"Fond du Lac County, Wisconsin";41009;26010;9522;21290;6948;1547;819;3173;1755;14999;12011;4751;10245;12751;2.43;3.01;99677;41009;21216;27512;3662;6278;2776;41258;13383;21849;268;1140;4618;43658;11227;22180;670;3770;5811;22107;1748;984;9354;4945;5076;72500;1387;4385;25528;16340;9469;10990;4401;66728;15391;81036;5774;101316;13486;22026;929;60787;6449;18503;6108
"La Crosse County, Wisconsin";47924;26812;10923;21523;8116;1518;738;3771;2069;21112;14629;5467;11742;12979;2.36;2.96;113231;47924;21565;28142;2898;12702;3994;47682;19162;22073;744;1247;4456;51215;18389;22418;240;4480;5688;32012;1232;1105;10914;5304;13457;75987;1512;1756;19166;16589;8831;17154;10979;72719;28133;94646;8604;116796;13128;23380;599;74982;5742;18434;6787
"Wood County, Wisconsin";32274;19775;7256;14784;4427;2198;1359;2793;1470;12499;10275;4637;7876;10580;2.24;2.78;72164;32274;14962;18293;1943;4692;3025;29842;9777;15674;358;1015;3018;30400;7852;15046;191;3543;3768;14783;858;840;6405;4011;2669;52200;1019;2853;20148;10427;5962;7623;4168;48328;11791;57389;5774;72536;10735;15657;928;42242;4881;14637;4926
"Guaynabo Municipio, Puerto Rico";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"DeKalb County, Alabama";26462;19148;7513;15102;5536;1417;554;2629;1423;7314;6689;3351;9175;8591;2.66;3.16;70420;26462;14977;20650;5801;2530;1055;27582;7879;16306;232;998;2167;29842;6292;15693;779;3832;3246;15407;386;700;8313;4354;1654;48169;6710;4971;14333;9524;5471;3931;3229;36488;7160;54240;3388;70633;10314;17145;318;41495;4786;11993;5210
"Jefferson County, Alabama";255940;159115;60291;107628;37615;11808;4779;39679;17897;96825;82731;28235;72135;75285;2.51;3.22;642886;255940;108077;189022;56714;33133;12211;248477;89549;116402;5364;7447;29715;285754;93288;119160;7572;25557;40177;160745;11287;8847;66358;32041;42212;451923;12555;30421;120289;99773;37489;94694;56702;408947;151396;509326;34007;652096;95986;149404;7751;400371;51282;102321;36953
"Maricopa County, Arizona";1582464;1043279;455470;754513;303038;94551;49499;194215;102933;539185;413533;156842;512031;460619;2.75;3.36;4356629;1582464;754249;1322350;385502;312064;121140;1735917;655944;834098;23566;40592;181717;1801158;560868;827275;34794;136760;241461;1109890;53212;54502;476933;237397;287846;2949658;159464;190231;658973;703238;258108;620462;359182;2599963;979644;3353506;256738;4380451;498443;1051477;38701;2666246;246109;662728;213633
"Yavapai County, Arizona";100836;60140;15178;49093;10923;3284;1200;7763;3055;40696;34750;21886;18026;51142;2.25;2.84;226691;100836;49150;49403;11817;15485;5921;96732;25697;52289;698;3990;14058;104658;21226;51622;1103;12277;18430;41059;1856;2003;17785;8500;10915;178575;3887;14625;44037;52055;16874;29024;18073;160063;47097;194564;26302;230551;40734;37259;2098;120141;17284;73151;21352
"Jefferson County, Arkansas";25689;14864;4909;9207;1945;1247;467;4410;2497;10825;9733;3360;6037;8302;2.38;3.20;61219;25689;9021;18697;5031;2781;1414;27308;10742;11045;624;922;3975;28462;10689;9417;805;3571;3980;15455;1031;807;6697;3465;3455;46186;1597;3379;20009;10422;2404;5647;2728;41210;8375;53221;4060;62502;10751;14884;484;36494;6072;11124;4195
"White County, Arkansas";29577;20733;8942;15466;6359;1330;509;3937;2074;8844;8350;3186;9667;8548;2.53;3.07;74940;29577;15472;23634;3846;2411;619;30602;9394;15527;643;1370;3668;33787;8073;16847;626;3711;4530;21963;829;737;7962;4791;7644;50440;3106;4083;19290;8772;3569;7371;4249;43251;11620;60432;3345;78323;12552;18258;834;48076;6649;11989;5069
